,keysentence
0,옳은말씀 제발 대깨문 문빠 김어준 좌파들 계속 날뛰거리 그래야 대선 승리는 민주당꺼다 민주당 생각
1,유승민 발목 잡는 사람만 없었어도 진작 보수가 이렇게까지 망가지지는 않았는데 민주당에 조응천 새누리당에 유승민이 당에 유일한 정상인이지
2,좋은 평론에 공감합니다 우파진영에는 좋은 인물들이 많이 대기하고 있습니다나라를 위하여 계속적인 애국활동을 해주시기를 부탁드립니다
3,이번 정부는 부동산빼고는 다 잘하고 있습니다이제 윤짜장도 정치한다고 나갔으니 검찰개혁에힘써야합니다
4,올해 살인 아직은 청년입니다 대한민국에 의원님 같은 분들이 넘쳐나길 간절히 바랍니다 항상 응원합니다
5,친문 겅제정책 마이너스 손아무것도 하지마라깜도않되는 것들이친문이라는이유로 적자조선 왕조냐 친문세습그러니욕쳐먹는거야니들이 박사모 같은것들이야
6,언론때문에 국민들이 정신들 못차리네우리가 촛불을 왜 들었는지 다들 잊어 버리신듯
7,지금 대가 베이비붐 세대라고 하던데  가장 수가 많고 그래서 아마도 그럴듯  대는 진보가 압도적임
8,진서임을 빼고서는 말이 안되지 민주당 다음 공천 때 머리 터지겠네
9,이번 서울시장 선거에유승민이 선거운동 안했으면아마도  정도는  오세훈이  더 이겼을건대유배신자  뵈기싫어서  안찍었다
